Date,Close,Volume
29/07/2019,1.505,249933
30/07/2019,1.465,425184
31/07/2019,1.475,383947
1/08/2019,1.5,349167
2/08/2019,1.49,298187
5/08/2019,1.44,514151
6/08/2019,1.36,1452736
7/08/2019,1.39,434623
8/08/2019,1.435,382499
9/08/2019,1.47,496512
12/08/2019,1.48,403254
13/08/2019,1.48,214796
14/08/2019,1.475,236620
15/08/2019,1.405,552583
16/08/2019,1.395,219414
19/08/2019,1.45,380617
20/08/2019,1.445,177960
21/08/2019,1.44,420401
22/08/2019,1.445,292575
23/08/2019,1.41,251383
26/08/2019,1.405,227637
27/08/2019,1.44,294111
28/08/2019,1.455,162570
29/08/2019,1.47,253954
30/08/2019,1.435,469520
2/09/2019,1.425,171939
3/09/2019,1.43,156510
4/09/2019,1.43,197291
5/09/2019,1.455,340882
6/09/2019,1.455,806441
9/09/2019,1.455,404490
10/09/2019,1.78,5751137
11/09/2019,1.9,6365042
12/09/2019,1.975,2803577
13/09/2019,2.12,3697999
16/09/2019,2.21,2196999
17/09/2019,2.17,2013833
18/09/2019,2.13,1200532
19/09/2019,2.01,2539125
20/09/2019,2.02,1580576
23/09/2019,2.06,1277782
24/09/2019,2.03,691098
25/09/2019,2,1474074
26/09/2019,2.04,1022898
27/09/2019,2,564545
30/09/2019,2.14,1309692
1/10/2019,2.14,0
2/10/2019,2.14,0
3/10/2019,1.995,3576366
4/10/2019,2.02,1651498
7/10/2019,2.01,682422
8/10/2019,1.975,718686
9/10/2019,1.92,905998
10/10/2019,1.865,1354695
11/10/2019,1.84,1681896
14/10/2019,1.9,2243881
15/10/2019,1.785,1456491
16/10/2019,1.785,1505333
17/10/2019,1.81,2362329
18/10/2019,1.76,2459937
21/10/2019,1.65,2061899
22/10/2019,1.725,1108425
23/10/2019,1.8,1205679
24/10/2019,1.77,1553779
25/10/2019,1.82,2100626
28/10/2019,1.73,1049681
29/10/2019,1.775,2253373
30/10/2019,1.785,358242
31/10/2019,1.785,550889
1/11/2019,1.78,385300
4/11/2019,1.805,843553
5/11/2019,1.805,1038619
6/11/2019,1.815,2700510
7/11/2019,1.79,2428244
8/11/2019,1.785,308436
11/11/2019,1.8,472935
12/11/2019,1.785,534284
13/11/2019,1.805,162599
14/11/2019,1.78,314607
15/11/2019,1.8,829374
18/11/2019,1.78,392841
19/11/2019,1.78,533518
20/11/2019,1.785,243730
21/11/2019,1.78,535259
22/11/2019,1.79,325435
25/11/2019,1.8,617945
26/11/2019,1.84,1296124
27/11/2019,1.835,1051989
28/11/2019,1.815,492096
29/11/2019,1.81,663947
2/12/2019,1.835,580795
3/12/2019,1.83,27951713
4/12/2019,1.81,1886372
5/12/2019,1.86,1510329
6/12/2019,1.9,4527725
9/12/2019,1.88,1371501
10/12/2019,1.92,843401
11/12/2019,1.895,752059
12/12/2019,1.88,787434
13/12/2019,1.915,1775667
16/12/2019,1.905,2326128
17/12/2019,1.92,2598148
18/12/2019,1.94,1668906
19/12/2019,2,4426452
20/12/2019,2,2749683
23/12/2019,2.02,933310
24/12/2019,2.07,996731
27/12/2019,2.1,2171422
30/12/2019,2.09,1598123
31/12/2019,2.08,690969
2/01/2020,2.05,1076779
3/01/2020,2.1,2932696
6/01/2020,2.14,1101080
7/01/2020,2.28,2145866
8/01/2020,2.22,3814793
9/01/2020,2.3,2156328
10/01/2020,2.29,2273628
13/01/2020,2.29,1018175
14/01/2020,2.3,1380080
15/01/2020,2.44,3787006
16/01/2020,2.4,1824944
17/01/2020,2.53,3059629
20/01/2020,2.69,3785494
21/01/2020,2.64,2583016
22/01/2020,2.91,4981658
23/01/2020,3.07,4544931
24/01/2020,3.07,4864272
28/01/2020,2.97,3727212
29/01/2020,3,2910081
30/01/2020,2.97,1183183
31/01/2020,3,1288050
3/02/2020,2.96,2608247
4/02/2020,2.94,15512337
5/02/2020,2.96,1632519
6/02/2020,2.96,1399869
7/02/2020,2.92,1538133
10/02/2020,2.89,1353899
11/02/2020,2.88,1833730
12/02/2020,2.9,3169157
13/02/2020,2.87,4345478
14/02/2020,2.84,1283431
17/02/2020,2.72,2657625
18/02/2020,2.7,1585247
19/02/2020,2.78,1912733
20/02/2020,2.74,1578168
21/02/2020,2.75,692430
24/02/2020,2.59,3230795
25/02/2020,2.58,2547754
26/02/2020,2.42,2953685
27/02/2020,2.44,1881074
28/02/2020,2.24,5147576
2/03/2020,2.28,4671057
3/03/2020,2.34,3096293
4/03/2020,2.3,2698314
5/03/2020,2.22,2309933
6/03/2020,2.09,2934782
9/03/2020,1.83,5116113
10/03/2020,2.19,9843312
11/03/2020,1.81,18883339
12/03/2020,1.54,8743461
13/03/2020,1.62,6400334
16/03/2020,1.295,5855897
17/03/2020,1.25,7366796
18/03/2020,1.15,11033559
19/03/2020,1.1,6651897
20/03/2020,1.135,6124715
23/03/2020,1.105,5027413
24/03/2020,1.15,4459755
25/03/2020,1.19,4617798
26/03/2020,1.29,3199068
27/03/2020,1.3,4524633
30/03/2020,1.39,3708088
